Location & Transportation	Is Leonardo Hotel Torremolinos Costa del Sol located in the city centre of Torremolinos?	Yes, the hotel stands in Torremolinos City Centre, close to Calle San Miguel and Plaza Costa del Sol.	High
Location & Transportation	How far is Leonardo Hotel Torremolinos Costa del Sol from Aqualand Torremolinos water park?	Aqualand Torremolinos is about 1.8 kilometres away, a five-minute drive or 20-minute walk.	Medium
Location & Transportation	What is the walking distance from Leonardo Hotel Torremolinos Costa del Sol to Calle San Miguel shopping street?	Calle San Miguel starts roughly 100 metres from the hotel, less than a two-minute walk.	Medium
Location & Transportation	Which exit on the A-7 motorway is closest to Leonardo Hotel Torremolinos Costa del Sol?	Information is currently not available. [VERIFY]	Low
Location & Transportation	Does the train from Torremolinos station provide a direct link to Málaga city centre near Leonardo Hotel Torremolinos Costa del Sol?	Yes, Cercanías line C1 trains run directly from Torremolinos to Málaga Centro-Alameda station. [VERIFY]	Medium
Activities & Entertainment	Does Leonardo Hotel Torremolinos Costa del Sol feature a rooftop pool with panoramic views?	Yes, a seasonal rooftop pool offers sun-loungers and sweeping Mediterranean panoramas.	High
Activities & Entertainment	Is there an indoor heated pool at Leonardo Hotel Torremolinos Costa del Sol?	Yes, guests can enjoy a heated indoor pool for year-round swimming.	High
Activities & Entertainment	Does Leonardo Hotel Torremolinos Costa del Sol provide a separate children’s pool?	Yes, a dedicated shallow children’s pool is available beside the main outdoor pool.	High
Activities & Entertainment	Is there a fitness centre or gym at Leonardo Hotel Torremolinos Costa del Sol?	Yes, a fully equipped gym with cardio and strength machines is open to guests.	High
Activities & Entertainment	Does Leonardo Hotel Torremolinos Costa del Sol offer a sauna or wellness area for guests?	Yes, the wellness area includes a traditional sauna for relaxation.	Medium
Activities & Entertainment	Is the outdoor pool at Leonardo Hotel Torremolinos Costa del Sol open seasonally, and during which months?	The outdoor pool operates seasonally from April through October, weather permitting.	Medium
Activities & Entertainment	Does Leonardo Hotel Torremolinos Costa del Sol have an arcade or games room with table tennis and billiards?	Yes, the hotel’s games room features table tennis tables and billiards cues.	Medium
Activities & Entertainment	Are there evening entertainment options such as live piano music at Leonardo Hotel Torremolinos Costa del Sol?	Yes, live piano sessions and other light evening entertainment are hosted in selected bars.	Low
