Category	Product Question	Answer	Frequency Level
Location & Transportation	Does Hotel Gotham provide a dedicated chauffeur or car-hire service for guests?	Yes, dedicated car-hire services can be arranged prior to arrival for a comfortable travel experience.	Low
Location & Transportation	Is public transportation easily accessible from Hotel Gotham?	Yes, multiple public transport options, including buses and trams, are readily available nearby.	High
Location & Transportation	Can Hotel Gotham assist with arranging taxi services or private transfers for sightseeing?	Yes, the reception and concierge team can organize taxis and private transfers for local tours or excursions.	Medium
Location & Transportation	Is the area around Hotel Gotham safe for walking at night?	Yes, the surrounding neighborhood is generally safe, though standard caution is advised in any urban area.	Low
Location & Transportation	Does Hotel Gotham have partnerships with local tour services for guided city tours?	Yes, the hotel may collaborate with select tour providers to offer curated experiences of the city. [VERIFY]	Low
Activities & Entertainment	Does Hotel Gotham offer a fitness center or gym facilities for guests?	No, a dedicated gym is not available on-site, but arrangements with nearby fitness venues may be possible. [VERIFY]	High
Activities & Entertainment	Are there spa treatments or massage services available at Hotel Gotham?	No on-site spa facilities exist, but in-room treatments may be arranged through local partners. [VERIFY]	Medium
Activities & Entertainment	Does Hotel Gotham host any themed evening entertainment or live music at Club Brass?	Occasional themed events or live performances may be scheduled, adding to the bar’s nighttime ambiance. [VERIFY]	Low
Activities & Entertainment	Are there any special events or seasonal activities organized by Hotel Gotham for guests?	Seasonal celebrations and special events may be held, offering guests unique experiences throughout the year. [VERIFY]	Low
Activities & Entertainment	Is there a rooftop terrace at Hotel Gotham with panoramic views for relaxation?	Yes, a rooftop area offers sweeping city views, serving as a tranquil space to unwind day or night.	High
Activities & Entertainment	Can guests book private events or parties on Hotel Gotham’s rooftop?	Yes, private gatherings may be arranged with advance notice, subject to availability and event guidelines.	Low
Activities & Entertainment	Does Hotel Gotham offer guided tours of the historic building or its Art Deco design features?	No dedicated tours are held, but staff can share highlights of its architectural history if requested. [VERIFY]	Low
Activities & Entertainment	Are children allowed to use all facilities at Hotel Gotham, including any spa or leisure areas?	Children may access most facilities under adult supervision, though certain areas or services may have age limits. [VERIFY]	Medium
Activities & Entertainment	Does Hotel Gotham collaborate with local attractions for exclusive guest experiences?	Yes, partnerships may exist with select venues or events, granting guests exclusive access to area highlights. [VERIFY]	Low
