קטגוריה	שאלה	Answer	רמת שכיחות  
מדיניות ותנאים	מה הם זמני הצ'ק-אין והצ'ק-אאוט במלון לאונרדו פלאזה טבריה בימי חול, שבתות וחגים?	צ'ק-אין בימים א'-ו' החל מ-15:00; בשבתות וחגים החל מ-18:00. צ'ק-אאוט בימים אלו עד 11:00, ובשבתות וחגים עד 14:00.	High  
מדיניות ותנאים	האם מלון לאונרדו פלאזה טבריה מציע שירות צ'ק-אין וצ'ק-אאוט מהיר (Express)?	כן, שירות צ'ק-אין וצ'ק-אאוט מהיר זמין לאורחים המבקשים זריזות בתהליך ההגעה והעזיבה.	Medium  
מדיניות ותנאים	האם מלון לאונרדו פלאזה טבריה דורש פיקדון ביטחון או אישור כרטיס-אשראי בעת ההגעה?	כן, בעת ההגעה נדרש אישור כרטיס-אשראי או פיקדון מזומן לכיסוי הוצאות נלוות.	Low  
מדיניות ותנאים	מהי מדיניות מלון לאונרדו פלאזה טבריה לגבי ילדים ותוספת מיטות?	המלון מקבל ילדים בכל הגילאים; מיטת תינוק בעלות ‎₪55 ללילה; אין אפשרות למיטות נוספות.	High  
מדיניות ותנאים	מהי מדיניות חיות המחמד במלון לאונרדו פלאזה טבריה?	לא, חיות מחמד אינן מורשות; כלבי נחייה מתקבלים בהתאם לחוק.	High  
מדיניות ותנאים	האם מלון לאונרדו פלאזה טבריה מציע שירות אחסון מזוודות לפני צ'ק-אין או אחרי צ'ק-אאוט?	כן, שירות אחסון מזוודות זמין ללא תשלום לפני ההגעה ולאחר העזיבה.	High  
מדיניות ותנאים	האם אורחים זרים במלון לאונרדו פלאזה טבריה פטורים מתשלום מע"מ ישראלי?	כן, אורחים בעלי דרכון זר ואשרת תייר פטורים מתשלום מע״מ בהתאם לחוק הישראלי.	Medium  
מדיניות ותנאים	האם קיימת הגבלת גיל לשימוש בספא או בג'קוזי במלון לאונרדו פלאזה טבריה?	כן, הכניסה לספא ולג'קוזי מותרת לאורחים מגיל 16 ומעלה בלבד.	Medium  
מיקום והסעות	כמה דקות הליכה מפרידות בין מלון לאונרדו פלאזה טבריה למרינת טבריה?	כ-2 דקות הליכה בלבד מפרידות בין המלון למרינת טבריה שעל הטיילת.	High  
מיקום והסעות	תוך כמה זמן מגיעים ברגל מהמלון לאונרדו פלאזה טבריה אל העיר העתיקה של טבריה?	כ-10 דקות הליכה מובילות מהמלון אל העיר העתיקה ואתריה ההיסטוריים.	High  
מיקום והסעות	מהו זמן הנסיעה המשוער מנמל-התעופה בן-גוריון למלון לאונרדו פלאזה טבריה?	הנסיעה מנמל-התעופה בן-גוריון אורכת כ-1 שעה ו-40 דקות, תלוי בתנועה.	High  
מיקום והסעות	אילו אתרי תיירות מרכזיים נמצאים במרחק קצר ממלון לאונרדו פלאזה טבריה?	בקרבת המלון נמצאים טיילת הכנרת, כנסיית פטרוס הקדוש, קבר הרמב״ם והעיר העתיקה.	High  
מיקום והסעות	האם מלון לאונרדו פלאזה טבריה יכול לארגן שירות מוניות או השכרת רכב לאורחים?	כן, צוות הקבלה מסייע בהזמנת מוניות ושירותי השכרת רכב לפי דרישת האורח. [VERIFY]	Medium  
מיקום והסעות	האם ניתן להגיע ישירות לטיילת חוף הכנרת ממלון לאונרדו פלאזה טבריה?	כן, יציאה ישירה מהלובי מובילה לטיילת חוף הכנרת הסמוכה למלון.	Medium  
מיקום והסעות	האם קיימת תחנת אוטובוס ציבורי בקרבת מלון לאונרדו פלאזה טבריה?	כן, תחנת אוטובוס עירונית ממוקמת במרחק הליכה קצר מצדו של המלון. [VERIFY]	Low  
מיקום והסעות	האם מלון לאונרדו פלאזה טבריה מציע שירות הסעות לשדות תעופה בתוספת תשלום?	נכון לעכשיו, ניתן לתאם שירות הסעות לשדה התעופה מראש ובתוספת תשלום. [VERIFY]	Low  
פעילויות ובידור	האם בריכת השחייה החיצונית של מלון לאונרדו פלאזה טבריה פתוחה בין אפריל לאוקטובר?	כן, הבריכה החיצונית פועלת בעונה, לרוב מאפריל ועד סוף אוקטובר, בכפוף לתנאי מזג האוויר.	High  
פעילויות ובידור	האם במלון לאונרדו פלאזה טבריה קיימת בריכת ילדים ייעודית?	כן, לצד הבריכה הראשית קיימת בריכת ילדים רדודה ובטיחותית לשימוש המשפחה.	High  
פעילויות ובידור	אילו מתקני ספא זמינים ב-Barniki Spa של מלון לאונרדו פלאזה טבריה?	הספא מציע סאונה, ג'קוזי, חדרי טיפולים יוקרתיים ומגוון עיסויים מרגיעים.	High  
פעילויות ובידור	האם חדר הכושר במלון לאונרדו פלאזה טבריה נגיש לאורחים ללא תשלום נוסף?	כן, חדר הכושר מאובזר ונגיש לכלל האורחים ללא חיוב נוסף.	High  
פעילויות ובידור	האם במלון לאונרדו פלאזה טבריה פועלים מועדון ילדים ומועדון נוער?	כן, מועדוני ילדים ונוער מציעים פעילויות ומשחקים בשעות המוגדרות בהתאם לתפוסה.	High  
פעילויות ובידור	האם במלון לאונרדו פלאזה טבריה יש סאונה וג'קוזי לשימוש האורחים?	כן, אורחי המלון מוזמנים ליהנות מסאונה יבשה ומג'קוזי כחלק ממתקני הספא.	High  
פעילויות ובידור	האם ניתן להזמין טיפולי עיסוי מתקדמים בספא של מלון לאונרדו פלאזה טבריה?	כן, ניתן להזמין מראש מגוון טיפולי עיסוי מתקדמים ומותאמים אישית בספא.	High  
פעילויות ובידור	האם צוות מלון לאונרדו פלאזה טבריה מסייע בארגון סיורים מודרכים או רכישת כרטיסים לאטרקציות סמוכות?	כן, דלפק התיירות מסייע בארגון סיורים מודרכים ובהזמנת כרטיסים לאטרקציות האזור.	Medium
